YahooIndustry,DamodaranIndustry,Reason
Consumer Electronics,Electronics (Consumer & Office),different naming
Software - Infrastructure,Computer Services,different naming
Software - Application,Software (System & Application),different naming
Internet Content & Information,Software (Internet),closest broad category
Internet Retail,Retail (General),small/specific category grouped upward
Auto Manufacturers,Auto & Truck,different naming
Semiconductors,Semiconductor,different naming
Banks - Diversified,Bank (Money Center),correct match
Banks - Regional,Banks (Regional),correct match
Oil & Gas Integrated,Oil/Gas (Integrated),different naming
Oil & Gas E&P,Oil/Gas (Production and Exploration),different naming
Biotechnology,Drugs (Biotechnology),different naming
Drug Manufacturers - General,Drugs (Pharmaceutical),different naming
Insurance - Diversified,Insurance (General),different naming
REIT - Industrial,R.E.I.T.,group into broader category
REIT - Retail,R.E.I.T.,group into broader category
REIT - Residential,R.E.I.T.,group into broader category
REIT - Office,R.E.I.T.,group into broader category
REIT - Specialty,R.E.I.T.,group into broader category
REIT - Healthcare Facilities,R.E.I.T.,group into broader category
REIT - Hotel & Motel,R.E.I.T.,group into broader category
REIT - Diversified,R.E.I.T.,group into broader category
Advertising Agencies,Advertising,different naming
Aerospace & Defense,Aerospace/Defense,different naming
Agricultural Inputs,Chemical (Basic),group into broader category
Airlines,Air Transport,group into broader category
Apparel Manufacturing,Apparel,group into broader category
Apparel Retail,Retail (Special Lines),group into broader category
Asset Management,Investments & Asset Management,correct match
Auto & Truck Dealerships,Retail (Automotive),group into broader category
Beverages - Brewers,Beverage (Alcoholic),group into broader category
Beverages - Non-Alcoholic,Beverage (Soft),group into broader category
Beverages - Wineries & Distilleries,Beverage (Alcoholic),group into broader category
Building Products & Equipment,Building Materials,group into broader category
Capital Markets,Brokerage & Investment Banking,group into broader category
Chemicals,Chemical (Basic),group into broader category
Communication Equipment,Telecom. Equipment,correct match
Computer Hardware,Computers/Peripherals,different naming
Confectioners,Food Processing,group into broader category
Conglomerates,Diversified,group into broader category
Consulting Services,Business & Consumer Services,group into broader category
Copper,Metals & Mining,group into broader category
Credit Services,Financial Svcs. (Non-bank & Insurance),group into broader category
Diagnostics & Research,Healthcare Support Services,group into broader category
Discount Stores,Retail (General),group into broader category
Drug Manufacturers - Specialty & Generic,Drugs (Pharmaceutical),group into broader category
Electrical Equipment & Parts,Electrical Equipment,different naming
Electronic Components,Electronics (General),group into broader category
Electronic Gaming & Multimedia,Software (Entertainment),better match
Engineering & Construction,Engineering/Construction,different naming
Farm & Heavy Construction Machinery,Machinery,group into broader category
Farm Products,Farming/Agriculture,better match
Financial Data & Stock Exchanges,Brokerage & Investment Banking,group into broader category
Food Distribution,Food Wholesalers,correct match
Footwear & Accessories,Shoe,better match
Gold,Precious Metals,better match
Grocery Stores,Retail (Grocery and Food),group into broader category
Healthcare Plans,Healthcare Support Services,group into broader category
Home Improvement Retail,Retail (Building Supply),group into broader category
Household & Personal Products,Household Products,group into broader category
Industrial Distribution,Retail (Distributors),better match
Information Technology Services,Information Services,better match
Insurance - Life,Insurance (Life),different naming
Insurance - Property & Casualty,Insurance (Prop/Cas.),correct match
Insurance - Reinsurance,Reinsurance,correct match
Insurance Brokers,Insurance (General),group into broader category
Integrated Freight & Logistics,Transportation,group into broader category
Leisure,Recreation,group into broader category
Lodging,Hotel/Gaming,group into broader category
Luxury Goods,Retail (Special Lines),group into broader category
Medical Care Facilities,Hospitals/Healthcare Facilities,correct match
Medical Devices,Healthcare Products,group into broader category
Medical Distribution,Healthcare Support Services,group into broader category
Medical Instruments & Supplies,Healthcare Products,group into broader category
Oil & Gas Equipment & Services,Oilfield Svcs/Equip.,different naming
Oil & Gas Midstream,Oil/Gas Distribution,better match
Oil & Gas Refining & Marketing,Oil/Gas Distribution,better match
Packaged Foods,Food Processing,group into broader category
Packaging & Containers,Packaging & Container,different naming
Personal Services,Business & Consumer Services,group into broader category
Pollution & Treatment Controls,Environmental & Waste Services,group into broader category
Railroads,Transportation (Railroads),correct match
Real Estate Services,Real Estate (Operations & Services),better match
Rental & Leasing Services,Business & Consumer Services,group into broader category
Residential Construction,Homebuilding,group into broader category
Resorts & Casinos,Hotel/Gaming,group into broader category
Restaurants,Restaurant/Dining,correct match
Scientific & Technical Instruments,Office Equipment & Services,closest available match
Security & Protection Services,Business & Consumer Services,group into broader category
Semiconductor Equipment & Materials,Semiconductor Equip,correct match
Solar,Green & Renewable Energy,better match
Specialty Business Services,Business & Consumer Services,group into broader category
Specialty Chemicals,Chemical (Specialty),different naming
Specialty Industrial Machinery,Machinery,group into broader category
Specialty Retail,Retail (Special Lines),group into broader category
Telecom Services,Telecom. Services,correct match
Tools & Accessories,Machinery,group into broader category
Travel Services,Recreation,closest available match
Utilities - Diversified,Utility (General),group into broader category
Utilities - Independent Power Producers,Power,group into broader category
Utilities - Regulated Electric,Utility (General),group into broader category
Utilities - Regulated Gas,Utility (General),group into broader category
Utilities - Regulated Water,Utility (Water),correct match
Waste Management,Environmental & Waste Services,group into broader category
