Ticker,Company,Industry,Sector,DividendYield,PayoutRatio
MMM,3M Company,Conglomerates,Industrials,2.16,0.48669997
AOS,A.O. Smith Corporation,Specialty Industrial Machinery,Industrials,2.18,0.3584
ABT,Abbott Laboratories,Medical Devices,Healthcare,2.45,0.6344
ABBV,AbbVie Inc.,Drug Manufacturers - General,Healthcare,3.31,2.7679
ACN,Accenture plc,Information Technology Services,Technology,3.24,0.5098
ADBE,Adobe Inc.,Software - Application,Technology,,0.0
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Technology,,0.0
AES,The AES Corporation,Utilities - Diversified,Utilities,4.92,0.5373
AFL,AFLAC Incorporated,Insurance - Life,Financial Services,2.21,0.3402
A,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare,0.88,0.22049999
APD,"Air Products and Chemicals, Inc",Specialty Chemicals,Basic Materials,2.47,1.0099
ABNB,"Airbnb, Inc.",Travel Services,Consumer Cyclical,,0.0
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,Technology,,0.0
ALB,Albemarle Corporation,Specialty Chemicals,Basic Materials,0.91,0.5797
ARE,Alexandria Real Estate Equities,REIT - Office,Real Estate,9.44,6.8946996
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare,,0.0
ALLE,Allegion plc,Security & Protection Services,Industrials,1.47,0.2742
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,Utilities,2.82,0.6465
ALL,Allstate Corporation (The),Insurance - Property & Casualty,Financial Services,2.09,0.105100006
GOOGL,Alphabet Inc.,Internet Content & Information,Communication Services,0.28,0.076799996
GOOG,Alphabet Inc.,Internet Content & Information,Communication Services,0.29,0.076799996
MO,"Altria Group, Inc.",Tobacco,Consumer Defensive,6.45,1.0097001
AMZN,"Amazon.com, Inc.",Internet Retail,Consumer Cyclical,,0.0
AMCR,Amcor plc,Packaging & Containers,Consumer Cyclical,6.51,1.9267
AEE,Ameren Corporation,Utilities - Regulated Electric,Utilities,2.69,0.53080004
AEP,American Electric Power Company,Utilities - Regulated Electric,Utilities,2.86,0.56159997
AXP,American Express Company,Credit Services,Financial Services,1.27,0.2133
AIG,"American International Group, I",Insurance - Diversified,Financial Services,2.39,0.3223
AMT,American Tower Corporation (REI,REIT - Specialty,Real Estate,3.97,1.2593
AWK,"American Water Works Company, I",Utilities - Regulated Water,Utilities,2.4,0.5707
AMP,"Ameriprise Financial, Inc.",Asset Management,Financial Services,1.47,0.1731
AME,"AMETEK, Inc.",Specialty Industrial Machinery,Industrials,0.62,0.19379999
AMGN,Amgen Inc.,Drug Manufacturers - General,Healthcare,2.9,0.669
APH,Amphenol Corporation,Electronic Components,Technology,0.78,0.22309999
ADI,"Analog Devices, Inc.",Semiconductors,Technology,1.28,0.7239
AON,Aon plc,Insurance Brokers,Financial Services,0.92,0.171
APA,APA Corporation,Oil & Gas E&P,Energy,2.38,0.25059998
APO,"Apollo Global Management, Inc. ",Asset Management,Financial Services,1.91,0.35970002
AAPL,Apple Inc.,Consumer Electronics,Technology,0.41,0.1304
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,Technology,0.61,0.1826
APP,Applovin Corporation,Advertising Agencies,Communication Services,,0.0
APTV,Aptiv PLC,Auto Parts,Consumer Cyclical,,0.0
ACGL,Arch Capital Group Ltd.,Insurance - Diversified,Financial Services,,0.0
ADM,Archer-Daniels-Midland Company,Farm Products,Consumer Defensive,2.82,0.91480005
ARES,Ares Management Corporation,Asset Management,Financial Services,5.27,2.6199
ANET,"Arista Networks, Inc.",Computer Hardware,Technology,,0.0
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,Financial Services,1.29,0.45299998
AIZ,"Assurant, Inc.",Insurance - Property & Casualty,Financial Services,1.54,0.19370002
T,AT&T Inc.,Telecom Services,Communication Services,3.92,0.2738
ATO,Atmos Energy Corporation,Utilities - Regulated Gas,Utilities,2.12,0.4707
ADSK,"Autodesk, Inc.",Software - Application,Technology,,0.0
ADP,"Automatic Data Processing, Inc.",Software - Application,Technology,3.33,0.6071
AZO,"AutoZone, Inc.",Auto Parts,Consumer Cyclical,,0.0
AVB,"AvalonBay Communities, Inc.",REIT - Residential,Real Estate,4.29,0.94589996
AVY,Avery Dennison Corporation,Packaging & Containers,Consumer Cyclical,2.19,0.4209
AXON,"Axon Enterprise, Inc.",Aerospace & Defense,Industrials,,0.0
BKR,Baker Hughes Company,Oil & Gas Equipment & Services,Energy,1.52,0.3538
BALL,Ball Corporation,Packaging & Containers,Consumer Cyclical,1.33,0.24239999
BAC,Bank of America Corporation,Banks - Diversified,Financial Services,2.27,0.28350002
BAX,Baxter International Inc.,Medical Instruments & Supplies,Healthcare,2.16,3.0769
BDX,"Becton, Dickinson and Company",Medical Instruments & Supplies,Healthcare,2.72,0.6814
BRK-B,Berkshire Hathaway Inc. New,Insurance - Diversified,Financial Services,,0.0
BBY,"Best Buy Co., Inc.",Specialty Retail,Consumer Cyclical,5.95,0.754
TECH,Bio-Techne Corp,Biotechnology,Healthcare,0.6,0.6038
BIIB,Biogen Inc.,Drug Manufacturers - General,Healthcare,,0.0
BLK,"BlackRock, Inc.",Asset Management,Financial Services,2.37,0.5902
BX,Blackstone Inc.,Asset Management,Financial Services,4.19,1.2119
XYZ,"Block, Inc.",Software - Infrastructure,Technology,,0.0
BK,The Bank of New York Mellon Cor,Banks - Diversified,Financial Services,1.74,0.2703
BA,Boeing Company (The),Aerospace & Defense,Industrials,,0.0
BKNG,Booking Holdings Inc. Common St,Travel Services,Consumer Cyclical,0.94,0.2319
BSX,Boston Scientific Corporation,Medical Devices,Healthcare,,0.0
BMY,Bristol-Myers Squibb Company,Drug Manufacturers - General,Healthcare,4.23,0.71970004
AVGO,Broadcom Inc.,Semiconductors,Technology,0.83,0.47169998
BR,"Broadridge Financial Solutions,",Information Technology Services,Technology,2.42,0.4104
BRO,"Brown & Brown, Inc.",Insurance Brokers,Financial Services,0.96,0.19459999
BF-B,Brown Forman Inc,Beverages - Wineries & Distilleries,Consumer Defensive,3.42,0.5294
BLDR,"Builders FirstSource, Inc.",Building Products & Equipment,Industrials,,0.0
BG,Bunge Limited,Farm Products,Consumer Defensive,2.16,0.5639
BXP,"BXP, Inc.",REIT - Office,Real Estate,5.95,1.9310001
CHRW,"C.H. Robinson Worldwide, Inc.",Integrated Freight & Logistics,Industrials,1.5,0.5155
CDNS,"Cadence Design Systems, Inc.",Software - Application,Technology,,0.0
CPT,Camden Property Trust,REIT - Residential,Real Estate,4.21,1.1863999
CPB,The Campbell's Company,Packaged Foods,Consumer Defensive,7.08,0.8478
COF,Capital One Financial Corporati,Credit Services,Financial Services,1.76,0.77379996
CAH,"Cardinal Health, Inc.",Medical Distribution,Healthcare,0.95,0.2932
CCL,Carnival Corporation,Travel Services,Consumer Cyclical,0.59,0.0661
CARR,Carrier Global Corporation,Building Products & Equipment,Industrials,1.72,0.5325
CVNA,Carvana Co.,Auto & Truck Dealerships,Consumer Cyclical,,0.0
CAT,"Caterpillar, Inc.",Farm & Heavy Construction Machinery,Industrials,0.84,0.3105
CBOE,"Cboe Global Markets, Inc.",Financial Data & Stock Exchanges,Financial Services,0.96,0.2591
CBRE,CBRE Group Inc,Real Estate Services,Real Estate,,0.0
CDW,CDW Corporation,Information Technology Services,Technology,2.07,0.31
COR,"Cencora, Inc.",Medical Distribution,Healthcare,0.74,0.2701
CNC,Centene Corporation,Healthcare Plans,Healthcare,,0.0
CNP,"CenterPoint Energy, Inc (Holdin",Utilities - Regulated Electric,Utilities,2.1,0.55
CF,"CF Industries Holdings, Inc.",Agricultural Inputs,Basic Materials,1.54,0.22299999
CRL,Charles River Laboratories Inte,Diagnostics & Research,Healthcare,,0.0
SCHW,Charles Schwab Corporation (The,Capital Markets,Financial Services,1.37,0.2323
CHTR,"Charter Communications, Inc.",Telecom Services,Communication Services,,0.0
CVX,Chevron Corporation,Oil & Gas Integrated,Energy,3.58,1.0317
CMG,"Chipotle Mexican Grill, Inc.",Restaurants,Consumer Cyclical,,0.0
CB,Chubb Limited,Insurance - Property & Casualty,Financial Services,1.18,0.1488
CHD,"Church & Dwight Company, Inc.",Household & Personal Products,Consumer Defensive,1.32,0.39069998
CIEN,Ciena Corporation,Communication Equipment,Technology,,0.0
CI,The Cigna Group,Healthcare Plans,Healthcare,2.31,0.2723
CINF,Cincinnati Financial Corporatio,Insurance - Property & Casualty,Financial Services,2.24,0.22940001
CTAS,Cintas Corporation,Specialty Business Services,Industrials,1.03,0.3671
CSCO,"Cisco Systems, Inc.",Communication Equipment,Technology,2.13,0.5899
C,"Citigroup, Inc.",Banks - Diversified,Financial Services,2.08,0.3319
CFG,"Citizens Financial Group, Inc.",Banks - Regional,Financial Services,3.02,0.4456
CLX,Clorox Company (The),Household & Personal Products,Consumer Defensive,4.9,0.8052
CME,CME Group Inc.,Financial Data & Stock Exchanges,Financial Services,1.7,0.44799998
CMS,CMS Energy Corporation,Utilities - Regulated Electric,Utilities,2.9,0.6156
KO,Coca-Cola Company (The),Beverages - Non-Alcoholic,Consumer Defensive,2.69,0.6711
CTSH,Cognizant Technology Solutions ,Information Technology Services,Technology,2.11,0.2719
COHR,Coherent Corp.,Scientific & Technical Instruments,Technology,,0.0
COIN,"Coinbase Global, Inc.",Financial Data & Stock Exchanges,Financial Services,,0.0
CL,Colgate-Palmolive Company,Household & Personal Products,Consumer Defensive,2.49,0.78330004
CMCSA,Comcast Corporation,Telecom Services,Communication Services,4.73,0.18370001
FIX,"Comfort Systems USA, Inc.",Engineering & Construction,Industrials,0.16,0.0675
CAG,"ConAgra Brands, Inc.",Packaged Foods,Consumer Defensive,8.91,0.791
COP,ConocoPhillips,Oil & Gas E&P,Energy,2.57,0.5008
ED,"Consolidated Edison, Inc.",Utilities - Regulated Electric,Utilities,2.98,0.6028
STZ,"Constellation Brands, Inc.",Beverages - Brewers,Consumer Defensive,2.7,0.6389
CEG,Constellation Energy Corporatio,Utilities - Independent Power Producers,Utilities,0.63,0.20959999
COO,"The Cooper Companies, Inc.",Medical Instruments & Supplies,Healthcare,,0.0
CPRT,"Copart, Inc.",Specialty Business Services,Industrials,,0.0
