Ticker,Company,Industry,DamodaranIndustry,Sector,DividendYield,PayoutRatio
MMM,3M Company,Conglomerates,Diversified,Industrials,2.16,0.48669997
AOS,A.O. Smith Corporation,Specialty Industrial Machinery,Machinery,Industrials,2.18,0.3584
ABT,Abbott Laboratories,Medical Devices,Healthcare Products,Healthcare,2.45,0.6344
ABBV,AbbVie Inc.,Drug Manufacturers - General,Drugs (Pharmaceutical),Healthcare,3.31,2.7679
ACN,Accenture plc,Information Technology Services,Information Services,Technology,3.24,0.5098
ADBE,Adobe Inc.,Software - Application,Software (System & Application),Technology,,0.0
AMD,"Advanced Micro Devices, Inc.",Semiconductors,Semiconductor,Technology,,0.0
AES,The AES Corporation,Utilities - Diversified,Utility (General),Utilities,4.92,0.5373
AFL,AFLAC Incorporated,Insurance - Life,Insurance (General),Financial Services,2.21,0.3402
A,"Agilent Technologies, Inc.",Diagnostics & Research,Healthcare Support Services,Healthcare,0.88,0.22049999
APD,"Air Products and Chemicals, Inc",Specialty Chemicals,Chemical (Specialty),Basic Materials,2.47,1.0099
ABNB,"Airbnb, Inc.",Travel Services,Recreation,Consumer Cyclical,,0.0
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,Computer Services,Technology,,0.0
ALB,Albemarle Corporation,Specialty Chemicals,Chemical (Specialty),Basic Materials,0.91,0.5797
ARE,Alexandria Real Estate Equities,REIT - Office,R.E.I.T.,Real Estate,9.44,6.8946996
ALGN,"Align Technology, Inc.",Medical Instruments & Supplies,Healthcare Products,Healthcare,,0.0
ALLE,Allegion plc,Security & Protection Services,Business & Consumer Services,Industrials,1.47,0.2742
LNT,Alliant Energy Corporation,Utilities - Regulated Electric,Utility (General),Utilities,2.82,0.6465
ALL,Allstate Corporation (The),Insurance - Property & Casualty,Insurance (General),Financial Services,2.09,0.105100006
GOOGL,Alphabet Inc.,Internet Content & Information,Software (Internet),Communication Services,0.28,0.076799996
GOOG,Alphabet Inc.,Internet Content & Information,Software (Internet),Communication Services,0.29,0.076799996
MO,"Altria Group, Inc.",Tobacco,Tobacco,Consumer Defensive,6.45,1.0097001
AMZN,"Amazon.com, Inc.",Internet Retail,Retail (General),Consumer Cyclical,,0.0
AMCR,Amcor plc,Packaging & Containers,Packaging & Container,Consumer Cyclical,6.51,1.9267
AEE,Ameren Corporation,Utilities - Regulated Electric,Utility (General),Utilities,2.69,0.53080004
AEP,American Electric Power Company,Utilities - Regulated Electric,Utility (General),Utilities,2.86,0.56159997
AXP,American Express Company,Credit Services,Insurance (General),Financial Services,1.27,0.2133
AIG,"American International Group, I",Insurance - Diversified,Insurance (General),Financial Services,2.39,0.3223
AMT,American Tower Corporation (REI,REIT - Specialty,R.E.I.T.,Real Estate,3.97,1.2593
AWK,"American Water Works Company, I",Utilities - Regulated Water,Utility (Water),Utilities,2.4,0.5707
AMP,"Ameriprise Financial, Inc.",Asset Management,Investments & Asset Management,Financial Services,1.47,0.1731
AME,"AMETEK, Inc.",Specialty Industrial Machinery,Machinery,Industrials,0.62,0.19379999
AMGN,Amgen Inc.,Drug Manufacturers - General,Drugs (Pharmaceutical),Healthcare,2.9,0.669
APH,Amphenol Corporation,Electronic Components,Electronics (General),Technology,0.78,0.22309999
ADI,"Analog Devices, Inc.",Semiconductors,Semiconductor,Technology,1.28,0.7239
AON,Aon plc,Insurance Brokers,Insurance (General),Financial Services,0.92,0.171
APA,APA Corporation,Oil & Gas E&P,Oil/Gas (Production and Exploration),Energy,2.38,0.25059998
APO,"Apollo Global Management, Inc.",Asset Management,Investments & Asset Management,Financial Services,1.91,0.35970002
