YahooIndustry,Count
Utilities - Regulated Electric,23
Specialty Industrial Machinery,17
Software - Infrastructure,15
Software - Application,15
Asset Management,13
Semiconductors,13
Aerospace & Defense,12
Diagnostics & Research,11
Information Technology Services,10
Medical Devices,10
Entertainment,10
Oil & Gas E&P,10
Specialty Chemicals,9
Medical Instruments & Supplies,9
Drug Manufacturers - General,9
Banks - Regional,9
Financial Data & Stock Exchanges,9
Insurance - Property & Casualty,8
REIT - Specialty,7
Computer Hardware,7
Packaged Foods,7
REIT - Residential,7
Household & Personal Products,7
Telecom Services,6
Insurance Brokers,6
Healthcare Plans,6
Building Products & Equipment,6
Communication Equipment,6
Restaurants,6
Credit Services,6
Packaging & Containers,6
Scientific & Technical Instruments,6
Travel Services,6
Integrated Freight & Logistics,5
Discount Stores,5
Biotechnology,5
REIT - Retail,5
Banks - Diversified,5
Capital Markets,5
Semiconductor Equipment & Materials,5
Beverages - Non-Alcoholic,4
Specialty Retail,4
Residential Construction,4
Oil & Gas Midstream,4
Auto Parts,4
Insurance - Life,4
Medical Distribution,4
Insurance - Diversified,4
Engineering & Construction,4
Railroads,4
Electronic Components,4
REIT - Industrial,3
Building Materials,3
Utilities - Independent Power Producers,3
Airlines,3
Medical Care Facilities,3
REIT - Healthcare Facilities,3
Specialty Business Services,3
Auto Manufacturers,3
Internet Content & Information,3
Internet Retail,3
Industrial Distribution,3
Resorts & Casinos,3
Farm Products,3
Oil & Gas Refining & Marketing,3
Advertising Agencies,3
Agricultural Inputs,3
Oil & Gas Equipment & Services,3
Apparel Retail,3
Farm & Heavy Construction Machinery,3
Electrical Equipment & Parts,2
Drug Manufacturers - Specialty & Generic,2
Steel,2
Tools & Accessories,2
Confectioners,2
Lodging,2
Waste Management,2
Home Improvement Retail,2
Conglomerates,2
Utilities - Regulated Gas,2
Footwear & Accessories,2
Consulting Services,2
REIT - Office,2
Real Estate Services,2
Oil & Gas Integrated,2
Beverages - Brewers,2
Electronic Gaming & Multimedia,2
Utilities - Diversified,2
Tobacco,2
Food Distribution,1
Luxury Goods,1
Gold,1
Rental & Leasing Services,1
Pollution & Treatment Controls,1
Personal Services,1
Security & Protection Services,1
Apparel Manufacturing,1
Trucking,1
Insurance - Reinsurance,1
Utilities - Regulated Water,1
Consumer Electronics,1
Grocery Stores,1
Beverages - Wineries & Distilleries,1
Auto & Truck Dealerships,1
REIT - Hotel & Motel,1
Leisure,1
Copper,1
Chemicals,1
Missing,1
Solar,1
REIT - Diversified,1
